,country_id,population
0,ABW,106766.0
1,AFE,677243299.0
2,AFG,38928341.0
3,AFW,458803476.0
4,AGO,32866268.0
5,ALB,2837743.0
6,AND,77265.0
7,ARB,436080728.0
8,ARE,9890400.0
9,ARG,45376763.0
10,ARM,2963234.0
11,ASM,55197.0
12,ATG,97928.0
13,AUS,25687041.0
14,AUT,8917205.0
15,AZE,10110116.0
16,BDI,11890781.0
17,BEL,11555997.0
18,BEN,12123198.0
19,BFA,20903278.0
20,BGD,164689383.0
21,BGR,6927288.0
22,BHR,1701583.0
23,BHS,393248.0
24,BIH,3280815.0
25,BLR,9398861.0
26,BLZ,397621.0
27,BMU,63903.0
28,BOL,11673029.0
29,BRA,212559409.0
30,BRB,287371.0
31,BRN,437483.0
32,BTN,771612.0
33,BWA,2351625.0
34,CAF,4829764.0
35,CAN,38005238.0
37,CHE,8636896.0
38,CHI,173859.0
39,CHL,19116209.0
40,CHN,1402112000.0
41,CIV,26378275.0
42,CMR,26545864.0
43,COD,89561404.0
44,COG,5518092.0
45,COL,50882884.0
46,COM,869595.0
47,CPV,555988.0
48,CRI,5094114.0
50,CUB,11326616.0
51,CUW,155014.0
52,CYM,65720.0
53,CYP,1207361.0
54,CZE,10698896.0
55,DEU,83240525.0
56,DJI,988002.0
57,DMA,71991.0
58,DNK,5831404.0
59,DOM,10847904.0
60,DZA,43851043.0
66,ECU,17643060.0
67,EGY,102334403.0
69,ERI,0.0
70,ESP,47351567.0
71,EST,1331057.0
72,ETH,114963583.0
75,FIN,5530719.0
76,FJI,896444.0
77,FRA,67391582.0
78,FRO,48865.0
79,FSM,115021.0
80,GAB,2225728.0
81,GBR,67215293.0
82,GEO,3714000.0
83,GHA,31072945.0
84,GIB,33691.0
85,GIN,13132792.0
86,GMB,2416664.0
87,GNB,1967998.0
88,GNQ,1402985.0
89,GRC,10715549.0
90,GRD,112519.0
91,GRL,56367.0
92,GTM,16858333.0
93,GUM,168783.0
94,GUY,786559.0
96,HKG,7481800.0
97,HND,9904608.0
99,HRV,4047200.0
100,HTI,11402533.0
101,HUN,9749763.0
106,IDN,273523621.0
108,IMN,85032.0
109,IND,1380004385.0
111,IRL,4994724.0
112,IRN,83992953.0
113,IRQ,40222503.0
114,ISL,366425.0
115,ISR,9216900.0
116,ITA,59554023.0
117,JAM,2961161.0
118,JOR,10203140.0
119,JPN,125836021.0
120,KAZ,18754440.0
121,KEN,53771300.0
122,KGZ,6591600.0
123,KHM,16718971.0
124,KIR,119446.0
125,KNA,53192.0
126,KOR,51780579.0
127,KWT,4270563.0
129,LAO,7275556.0
130,LBN,6825442.0
131,LBR,5057677.0
132,LBY,6871287.0
133,LCA,183629.0
137,LIE,38137.0
138,LKA,21919000.0
141,LSO,2142252.0
143,LTU,2794700.0
144,LUX,632275.0
145,LVA,1901548.0
146,MAC,649342.0
147,MAF,38659.0
148,MAR,36910558.0
149,MCO,39244.0
150,MDA,2617820.0
151,MDG,27691019.0
152,MDV,540542.0
154,MEX,128932753.0
155,MHL,59194.0
157,MKD,2083380.0
158,MLI,20250834.0
159,MLT,525285.0
160,MMR,54409794.0
162,MNE,621718.0
163,MNG,3278292.0
164,MNP,57557.0
165,MOZ,31255435.0
166,MRT,4649660.0
167,MUS,1265740.0
168,MWI,19129955.0
169,MYS,32365998.0
171,NAM,2540916.0
172,NCL,271960.0
173,NER,24206636.0
174,NGA,206139587.0
175,NIC,6624554.0
176,NLD,17441139.0
177,NOR,5379475.0
178,NPL,29136808.0
179,NRU,10834.0
180,NZL,5084300.0
182,OMN,5106622.0
184,PAK,220892331.0
185,PAN,4314768.0
186,PER,32971846.0
187,PHL,109581085.0
188,PLW,18092.0
189,PNG,8947027.0
190,POL,37950802.0
192,PRI,3194034.0
193,PRK,25778815.0
194,PRT,10305564.0
195,PRY,7132530.0
196,PSE,4803269.0
199,PYF,280904.0
200,QAT,2881060.0
201,ROU,19286123.0
202,RUS,144104080.0
203,RWA,12952209.0
205,SAU,34813867.0
206,SDN,43849269.0
207,SEN,16743930.0
208,SGP,5685807.0
209,SLB,686878.0
210,SLE,7976985.0
211,SLV,6486201.0
212,SMR,33938.0
213,SOM,15893219.0
214,SRB,6908224.0
216,SSD,11193729.0
219,STP,219161.0
220,SUR,586634.0
221,SVK,5458827.0
222,SVN,2100126.0
223,SWE,10353442.0
224,SWZ,1160164.0
225,SXM,40812.0
226,SYC,98462.0
227,SYR,17500657.0
228,TCA,38718.0
229,TCD,16425859.0
232,TGO,8278737.0
233,THA,69799978.0
234,TJK,9537642.0
235,TKM,6031187.0
237,TLS,1318442.0
239,TON,105697.0
242,TTO,1399491.0
243,TUN,11818618.0
244,TUR,84339067.0
245,TUV,11792.0
246,TZA,59734213.0
247,UGA,45741000.0
248,UKR,44134693.0
250,URY,3473727.0
251,USA,329484123.0
252,UZB,34232050.0
253,VCT,110947.0
254,VEN,28435943.0
255,VGB,30237.0
256,VIR,106290.0
257,VNM,97338583.0
258,VUT,307150.0
260,WSM,198410.0
261,XKX,1775378.0
262,YEM,29825968.0
263,ZAF,59308690.0
264,ZMB,18383956.0
265,ZWE,14862927.0
